GROUP_SET,PLAYER_ID,PLAYER_NAME,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Assisted By,2440,"Barnes, Matt",45,45,1.0,13,13,1.0,1.144,0,1.0,0.0,1.0,0.0,1.0,0.0,11,11,1,11,11,1,14,1,1,1,1,1,1,1,168,2440
Assisted By,203546,"Clark, Ian",90,90,1.0,27,27,1.0,1.15,0,1.0,0.0,1.0,0.0,1.0,0.0,9,9,1,10,10,1,12,1,1,1,1,1,1,1,168,203546
Assisted By,201939,"Curry, Stephen",524,524,1.0,163,163,1.0,1.156,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,2,2,1,11,1,1,1,1,1,1,1,168,201939
Assisted By,201142,"Durant, Kevin",300,300,1.0,130,130,1.0,1.217,0,1.0,0.0,1.0,0.0,1.0,0.0,3,3,1,3,3,1,3,1,1,1,1,1,1,1,168,201142
Assisted By,203110,"Green, Draymond",533,533,1.0,182,182,1.0,1.171,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,7,1,1,1,1,1,1,1,168,203110
Assisted By,2738,"Iguodala, Andre",261,261,1.0,85,85,1.0,1.163,0,1.0,0.0,1.0,0.0,1.0,0.0,4,4,1,4,4,1,9,1,1,1,1,1,1,1,168,2738
Assisted By,2733,"Livingston, Shaun",139,139,1.0,41,41,1.0,1.147,0,1.0,0.0,1.0,0.0,1.0,0.0,7,7,1,7,7,1,13,1,1,1,1,1,1,1,168,2733
Assisted By,1626172,"Looney, Kevon",29,29,1.0,13,13,1.0,1.224,0,1.0,0.0,1.0,0.0,1.0,0.0,12,12,1,11,11,1,2,1,1,1,1,1,1,1,168,1626172
Assisted By,203949,"McAdoo, James Michael",18,18,1.0,6,6,1.0,1.167,0,1.0,0.0,1.0,0.0,1.0,0.0,13,13,1,14,14,1,8,1,1,1,1,1,1,1,168,203949
Assisted By,1627775,"McCaw, Patrick",77,77,1.0,30,30,1.0,1.195,0,1.0,0.0,1.0,0.0,1.0,0.0,10,10,1,8,8,1,6,1,1,1,1,1,1,1,168,1627775
Assisted By,201580,"McGee, JaVale",17,17,1.0,7,7,1.0,1.206,0,1.0,0.0,1.0,0.0,1.0,0.0,14,14,1,13,13,1,4,1,1,1,1,1,1,1,168,201580
Assisted By,2585,"Pachulia, Zaza",132,132,1.0,42,42,1.0,1.159,0,1.0,0.0,1.0,0.0,1.0,0.0,8,8,1,6,6,1,10,1,1,1,1,1,1,1,168,2585
Assisted By,202691,"Thompson, Klay",160,160,1.0,45,45,1.0,1.141,0,1.0,0.0,1.0,0.0,1.0,0.0,5,5,1,5,5,1,15,1,1,1,1,1,1,1,168,202691
Assisted By,2760,"Varejao, Anderson",10,10,1.0,4,4,1.0,1.2,0,1.0,0.0,1.0,0.0,1.0,0.0,15,15,1,15,15,1,5,1,1,1,1,1,1,1,168,2760
Assisted By,1627362,"Weber, Briante",5,5,1.0,3,3,1.0,1.3,0,1.0,0.0,1.0,0.0,1.0,0.0,16,16,1,16,16,1,1,1,1,1,1,1,1,1,168,1627362
Assisted By,2561,"West, David",151,151,1.0,28,28,1.0,1.093,0,1.0,0.0,1.0,0.0,1.0,0.0,6,6,1,9,9,1,16,1,1,1,1,1,1,1,168,2561
